ID,mes_0,mes_1,mes_10,mes_11,mes_12,mes_13,mes_14,mes_15,mes_16,mes_17,mes_18,mes_19,mes_2,mes_20,mes_21,mes_22,mes_23,mes_24,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9
5001818,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001829,0,,,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,,,0
5001832,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5001833,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5001836,0,0,,,,0,0,0,,0,0,,,0,,0,,0,0,0,0,0,0,,0
5001837,0,0,0,0,0,0,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001843,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,,0,C,C,C
5001844,0,0,0,0,0,,,0,0,,0,,,0,,0,0,0,0,0,,0,,0,
5001847,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0
5001848,0,0,0,0,,,0,0,,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
5001856,0,0,C,C,C,C,C,C,C,C,C,C,1,C,C,C,C,C,C,C,C,C,C,C,C
5001857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001858,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001859,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5001873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0
5001874,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0
5001883,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001890,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001891,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5001892,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001894,0,0,,,,,,,,,,,0,,,,,,0,0,0,0,,,
5001895,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001898,0,0,,0,,0,0,,,0,0,0,0,0,0,C,C,C,,,,,,,0
5001899,0,,,,,,,,,,,,,,,,,,,0,,,,0,
5001900,0,0,0,0,0,0,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001901,0,0,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,0,0,0,0,,,C
5001904,0,,,,,,,,,,,,,,,,,,,,,,,,
5001905,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001906,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001922,0,0,1,0,,,0,C,C,C,C,C,0,C,C,C,C,C,,,,0,,0,
5001923,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,1,0,1,1
5001927,0,,0,0,,,,0,,,,0,0,,0,,1,0,0,,0,,0,,0
5001932,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
5001933,0,1,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001940,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,0,0,0,0,0,0,0
5001941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001942,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001943,0,0,0,,0,,0,C,C,C,C,C,0,C,C,C,C,C,0,0,,0,0,,
5001947,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,C,C
5001948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001954,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001958,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001959,0,,,,,0,,,,,,,0,0,,0,,0,0,0,,,,,0
5001960,0,,0,0,,0,,0,0,,,0,,,0,0,,0,,0,,,0,0,
5001965,0,0,0,0,0,0,0,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001966,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001967,0,0,0,,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001982,0,,,,,,,,,,,,,,,,,,,,,,,,
5001983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001986,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5001987,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5001988,0,0,,0,,0,0,0,0,0,0,1,0,0,0,,0,,0,0,0,,,0,
5001989,0,0,,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,,0,0,,
5001990,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001991,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001999,0,0,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,0,0,0,0,0,C,C
5002000,0,,0,,,0,0,,0,C,C,C,0,C,C,C,C,C,,0,0,0,,0,0
5002001,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5002003,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002004,0,,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5002005,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002006,0,0,,,,,,,C,C,C,C,0,C,C,C,C,C,0,0,,,,,
5002008,0,0,0,0,0,0,0,0,0,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002009,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002012,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002013,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
5002019,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002026,0,0,,0,,0,,0,0,0,,,,,0,,,,0,,,,,,0
5002028,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5002031,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,C,C
5002042,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5002047,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002049,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002057,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002058,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002059,0,0,,,,,,,,,,,0,,,0,,0,0,0,0,0,,,
5002060,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002068,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002069,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002073,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1
5002088,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002091,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,1,0,C
5002094,0,,,,,,,,,,,,,,,,,,,,,,,,
5002096,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002097,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002098,0,,0,,,,0,,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0
5002101,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002104,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002105,0,0,0,0,0,0,,,0,1,0,C,0,C,C,C,C,C,0,,0,0,0,0,
5002107,0,0,0,0,0,0,0,0,0,0,0,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002108,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,1,0,0
5002116,0,,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,,0,0,C,C
5002120,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5002126,0,0,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,,1,2,2,3,3,2
5002128,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,1,C
5002130,0,0,0,0,,0,0,0,,0,,0,,,0,,0,0,,,0,,0,,0
5002131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0
5002138,0,0,0,0,,0,,,,,,,0,,,,,,0,0,0,0,0,0,0
5002140,0,0,0,0,,0,0,,0,0,C,C,0,C,C,C,C,C,0,0,,0,0,,0
5002142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002149,0,0,,,0,0,0,0,0,0,0,0,,0,0,C,C,C,,,,,,,
5002150,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002155,0,,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,,0,0,0,C
5002156,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,C,C,C
5002158,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002160,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
5002164,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5002165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002171,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002175,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002181,0,,,,0,,,,0,,0,,,0,0,0,,0,,,,,0,0,
5002182,0,0,,0,,0,0,0,,0,0,0,,,0,,0,0,0,0,0,,,,0
5002183,0,0,0,,0,,0,0,0,,0,0,0,0,,0,,0,,,,0,,,
5002191,0,0,0,,0,C,C,C,C,C,C,C,0,C,C,C,C,C,,0,0,0,,,
5002192,0,0,,0,0,0,0,,0,0,0,,0,,,0,,0,0,,0,,0,,
5002201,0,0,0,0,0,0,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002202,0,0,0,0,0,0,0,0,0,0,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002206,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,0,0,0,0,0,0,0
5002208,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,C,C
5002217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
5002219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,1,0,0,0
5002220,0,0,0,0,0,0,0,0,1,0,0,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002221,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002231,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002238,0,0,,,,,,,,,,,0,,,,,,0,0,,,,,
5002239,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0
5002246,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,C,C
5002247,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5002257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0
5002258,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002259,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002264,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002267,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002279,0,1,0,0,C,C,C,C,C,C,C,C,1,C,C,C,C,C,0,0,0,0,0,0,0
5002280,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002283,0,0,1,2,0,0,0,0,0,0,0,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002287,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,C,C,C
5002292,0,0,,,,0,0,,,0,,0,,,0,0,,,0,,0,,0,0,0
5002296,0,0,,,,,,,,,,,0,,,,,,0,0,,,,,
5002297,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,1
5002298,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002299,0,0,0,0,0,0,0,0,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
5002309,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,,0,0,0,0,C,C
5002310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002314,0,0,0,0,0,0,0,0,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002315,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,C,C,C
5002316,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5002317,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002320,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002321,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5002323,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002326,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5002330,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002346,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002347,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,C,C,C
5002349,0,,,,,,,,,,,,,,,,,,,,,,,,
5002351,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002353,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0
5002356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002373,1,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002374,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5002375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002380,0,,,0,0,,0,0,0,0,,,,,0,,,,,,0,,,,
5002381,0,0,0,0,0,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,1
5002384,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,C,C
5002385,0,0,0,0,0,0,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002392,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,C,0,0,0,0,0,0,0
5002395,0,0,,,,0,,0,0,0,,0,,,0,,,,,0,,,,,
5002398,0,,0,,0,,0,0,0,,,,,0,,,,0,,0,0,,0,0,
5002412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,0,0,0,0,0,0,0
5002413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0
5002420,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,,0,
5002426,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002427,0,0,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C,C,C,C,C
5002428,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,1,1,1,0,0,0,0
5002432,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002433,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,1,0,0,0,0,0
5002436,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002441,0,,,0,,,,,0,,,,0,0,,,,,0,0,,0,,0,
5002448,0,,,,,,,,,,,,,,,,,,,,,,,,
5002449,0,,,,,,,,,,,,,,,,,,,,,,,,
5002450,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002453,0,,0,0,0,0,0,0,C,C,C,C,0,C,C,C,C,C,0,0,0,0,,0,
5002454,0,,0,0,0,0,0,0,C,C,C,C,0,C,C,C,C,C,0,0,0,0,,0,
5002456,0,0,0,,0,,0,,0,0,0,,0,,,0,,,,0,,0,0,,
5002462,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002465,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002474,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002482,0,0,0,0,1,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002483,0,,,,,,,,,,,,,,,,,,,,,,,,
5002484,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002485,0,,,,,,,,,,,,,,,,,,,,,,,,
5002487,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5002488,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,1,0,0,0,0,0
5002489,0,0,0,0,0,,0,0,0,,0,0,0,0,,0,,1,0,0,,0,0,,
5002490,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,C,C,C,C,C,C
5002491,0,0,0,0,,0,0,,,0,0,0,0,,0,,0,,0,0,0,0,,,0
5002492,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5002502,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5002507,0,0,0,,0,0,0,,0,,0,,,,0,,,,0,0,,,,,
5002510,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,C,C,0,0,0,0,0,0,
5002514,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5002518,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,,0,0,C,C,C
5002519,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002520,0,0,0,,0,,0,,0,,,0,0,,,,,0,,0,0,0,,,
5002523,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002524,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5002526,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5002527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0
5002538,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5002540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5002541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,C,C,0,0,0,0,0,0,0
5002543,0,0,,,,0,,0,,0,0,0,0,,0,0,0,C,0,0,0,0,0,0,0
5002544,0,,0,,,0,,1,,0,,0,0,0,,,,,0,0,,0,0,1,
5002550,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5002554,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002555,0,,0,,0,,0,0,0,0,,0,0,0,,0,,0,0,0,,0,0,0,
5002556,0,0,,0,0,0,0,,0,0,,0,,,0,0,,,0,,0,,0,,0
5002558,0,0,0,,0,0,,0,,0,0,,,,,0,,,,,0,,0,0,0
5002560,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5002564,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
