sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
F,N,N,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
F,N,N,0,Commercial associate,Higher education,Married,House / apartment,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
M,N,Y,1,Working,Secondary / secondary special,Married,House / apartment,28.276712328767122,7.693150684931507,1,0,0,0,3.0,False
F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.726027397260275,4.69041095890411,1,0,0,0,2.0,False
F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.726027397260275,4.69041095890411,1,0,0,0,2.0,False
F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.726027397260275,4.69041095890411,1,0,0,0,2.0,False
F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.726027397260275,4.69041095890411,1,0,0,0,2.0,False
F,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,48.726027397260275,4.69041095890411,1,0,0,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False
F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246575,1,0,0,0,2.0,False
F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246575,1,0,0,0,2.0,False
F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246575,1,0,0,0,2.0,False
F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246575,1,0,0,0,2.0,False
F,N,Y,0,Pensioner,Secondary / secondary special,Married,House / apartment,61.14794520547945,-1000.6657534246575,1,0,0,0,2.0,False
F,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False
F,Y,Y,0,Working,Secondary / secondary special,Separated,House / apartment,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,N,Y,2,State servant,Higher education,Married,House / apartment,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
F,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.413698630136984,29.706849315068492,1,0,0,1,2.0,False
F,N,N,0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51.18356164383562,-1000.6657534246575,1,0,0,0,2.0,False
F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
F,N,Y,2,Working,Higher education,Married,House / apartment,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
M,N,Y,0,Working,Secondary / secondary special,Single / not married,House / apartment,24.276712328767122,2.4356164383561643,1,1,0,0,1.0,False
M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
M,Y,Y,0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
F,Y,Y,0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False
F,Y,Y,1,State servant,Higher education,Married,House / apartment,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False
M,N,Y,1,Working,Secondary / secondary special,Married,With parents,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False
F,N,Y,0,Working,Higher education,Civil marriage,House / apartment,27.572602739726026,8.693150684931506,1,0,0,1,2.0,False
M,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,56.24931506849315,15.698630136986301,1,0,0,0,2.0,False
M,Y,N,2,Commercial associate,Higher education,Married,House / apartment,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False
M,Y,N,2,Commercial associate,Higher education,Married,House / apartment,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False
F,N,Y,1,Commercial associate,Secondary / secondary special,Married,House / apartment,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False
F,N,Y,0,Working,Higher education,Separated,House / apartment,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False
M,Y,Y,2,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False
M,Y,Y,2,Working,Secondary / secondary special,Married,With parents,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
F,N,N,0,Commercial associate,Higher education,Separated,With parents,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
M,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.37808219178082,-1000.6657534246575,1,0,0,0,1.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False
M,Y,N,0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False
M,Y,N,0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Married,House / apartment,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,62.676712328767124,-1000.6657534246575,1,0,1,1,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.205479452054796,3.441095890410959,1,0,0,0,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.205479452054796,3.441095890410959,1,0,0,0,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.205479452054796,3.441095890410959,1,0,0,0,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.205479452054796,3.441095890410959,1,0,0,0,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.205479452054796,3.441095890410959,1,0,0,0,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,Co-op apartment,50.205479452054796,3.441095890410959,1,0,0,0,2.0,False
F,N,N,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
F,N,N,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
F,N,N,0,Working,Higher education,Married,House / apartment,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
F,N,N,0,State servant,Secondary / secondary special,Married,House / apartment,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
F,N,N,0,Working,Higher education,Married,House / apartment,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
F,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
M,Y,N,0,Working,Incomplete higher,Married,With parents,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False
F,N,N,0,Working,Higher education,Separated,Municipal apartment,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False
F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False
M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,27.279452054794522,2.5232876712328767,1,1,0,0,3.0,False
M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,27.279452054794522,2.5232876712328767,1,1,0,0,3.0,False
F,N,N,0,Working,Secondary / secondary special,Single / not married,House / apartment,43.75342465753425,24.621917808219177,1,0,0,0,1.0,False
M,Y,N,0,State servant,Higher education,Married,With parents,28.126027397260273,4.526027397260274,1,1,1,0,2.0,False
M,Y,N,0,State servant,Higher education,Married,With parents,28.126027397260273,4.526027397260274,1,1,1,0,2.0,False
M,Y,N,0,State servant,Higher education,Married,With parents,28.126027397260273,4.526027397260274,1,1,1,0,2.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False
F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,57.64657534246575,-1000.6657534246575,1,0,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.106849315068494,5.112328767123287,1,0,1,0,1.0,False
F,N,N,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.441095890410956,-1000.6657534246575,1,0,0,0,1.0,False
F,N,N,0,Pensioner,Secondary / secondary special,Widow,House / apartment,60.441095890410956,-1000.6657534246575,1,0,0,0,1.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
F,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,55.178082191780824,-1000.6657534246575,1,0,1,1,2.0,False
M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
M,Y,N,0,Working,Higher education,Married,House / apartment,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False
F,N,N,0,Working,Higher education,Separated,House / apartment,44.391780821917806,19.45205479452055,1,0,0,0,1.0,False
M,N,N,0,Working,Secondary / secondary special,Married,House / apartment,51.16164383561644,14.531506849315068,1,1,1,0,2.0,False
M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
M,Y,N,0,Working,Secondary / secondary special,Married,House / apartment,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False
M,N,N,0,Commercial associate,Lower secondary,Married,House / apartment,57.95890410958904,0.3561643835616438,1,0,1,0,2.0,False
F,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.95068493150685,14.446575342465753,1,1,1,0,2.0,False
M,Y,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False
M,Y,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False
M,Y,N,0,Commercial associate,Higher education,Civil marriage,House / apartment,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False
M,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.52602739726027,-1000.6657534246575,1,0,1,1,2.0,False
M,Y,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,63.52602739726027,-1000.6657534246575,1,0,1,1,2.0,False
F,N,N,2,Working,Higher education,Married,House / apartment,30.90684931506849,4.778082191780822,1,1,0,1,4.0,False
M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,25.835616438356166,3.2739726027397262,1,1,0,0,3.0,False
M,Y,N,1,Working,Secondary / secondary special,Married,House / apartment,25.835616438356166,3.2739726027397262,1,1,0,0,3.0,False
F,N,N,0,State servant,Higher education,Married,House / apartment,40.323287671232876,15.282191780821918,1,0,1,0,2.0,False
F,N,N,0,State servant,Higher education,Married,House / apartment,40.323287671232876,15.282191780821918,1,0,1,0,2.0,False
M,N,N,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520546,8.695890410958905,1,0,0,0,1.0,False
M,N,N,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520546,8.695890410958905,1,0,0,0,1.0,False
M,N,N,0,State servant,Higher education,Single / not married,House / apartment,30.252054794520546,8.695890410958905,1,0,0,0,1.0,False
F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
F,N,N,1,Working,Higher education,Civil marriage,House / apartment,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False
M,N,N,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.44931506849315,0.6904109589041096,1,1,1,0,2.0,False
M,N,N,0,Working,Incomplete higher,Married,House / apartment,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False
M,N,N,0,Working,Incomplete higher,Married,House / apartment,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False
F,N,N,0,Working,Secondary / secondary special,Single / not married,House / apartment,52.88767123287671,1.2712328767123289,1,1,1,0,1.0,False
M,N,N,0,Working,Secondary / secondary special,Single / not married,Co-op apartment,22.416438356164385,3.6082191780821917,1,1,0,0,1.0,False
F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.32876712328768,-1000.6657534246575,1,0,0,0,2.0,False
F,N,N,0,Pensioner,Secondary / secondary special,Married,House / apartment,64.32876712328768,-1000.6657534246575,1,0,0,0,2.0,False
F,N,N,0,State servant,Higher education,Married,House / apartment,47.326027397260276,3.6931506849315068,1,0,1,0,2.0,False
F,N,N,0,State servant,Higher education,Married,House / apartment,47.326027397260276,3.6931506849315068,1,0,1,0,2.0,False
F,N,N,0,State servant,Higher education,Married,House / apartment,47.326027397260276,3.6931506849315068,1,0,1,0,2.0,False
