,total_bill,tip,sex,smoker,day,time,size,tip_pct,net_bill
53,9.94,1.56,Male,No,Sun,Dinner,2,0.18615751789976137,8.379999999999999
54,25.56,4.34,Male,No,Sun,Dinner,4,0.20452403393025448,21.22
55,19.49,3.51,Male,No,Sun,Dinner,2,0.21964956195244056,15.979999999999999
56,38.01,3.0,Male,Yes,Sat,Dinner,4,0.08568980291345331,35.01
57,26.41,1.5,Female,No,Sat,Dinner,2,0.060216780409474105,24.91
58,11.24,1.76,Male,Yes,Sat,Dinner,2,0.18565400843881855,9.48
59,48.27,6.73,Male,No,Sat,Dinner,4,0.16201251805488684,41.540000000000006
60,20.29,3.21,Male,Yes,Sat,Dinner,2,0.18793911007025763,17.08
61,13.81,2.0,Male,Yes,Sat,Dinner,2,0.1693480101608806,11.81
62,11.02,1.98,Male,Yes,Sat,Dinner,2,0.21902654867256638,9.04
63,18.29,3.76,Male,Yes,Sat,Dinner,4,0.2587749483826566,14.53
64,17.59,2.64,Male,No,Sat,Dinner,3,0.17658862876254183,14.95
65,20.08,3.15,Male,No,Sat,Dinner,3,0.18606024808033078,16.93
66,16.45,2.47,Female,No,Sat,Dinner,2,0.1766809728183119,13.979999999999999
67,3.07,1.0,Female,Yes,Sat,Dinner,1,0.48309178743961356,2.07
68,20.23,2.01,Male,No,Sat,Dinner,2,0.11031833150384193,18.22
69,15.01,2.09,Male,Yes,Sat,Dinner,2,0.16176470588235292,12.92
70,12.02,1.97,Male,No,Sat,Dinner,2,0.19601990049751244,10.049999999999999
71,17.07,3.0,Female,No,Sat,Dinner,3,0.21321961620469082,14.07
72,26.86,3.14,Female,Yes,Sat,Dinner,2,0.13237774030354132,23.72
73,25.28,5.0,Female,Yes,Sat,Dinner,2,0.24654832347140038,20.28
74,14.73,2.2,Female,No,Sat,Dinner,2,0.17557861133280128,12.530000000000001
75,10.51,1.25,Male,No,Sat,Dinner,2,0.13498920086393087,9.26
76,17.92,3.08,Male,Yes,Sat,Dinner,2,0.20754716981132074,14.840000000000002
77,27.2,4.0,Male,No,Thur,Lunch,4,0.1724137931034483,23.2
78,22.76,3.0,Male,No,Thur,Lunch,2,0.15182186234817813,19.76
79,17.29,2.71,Male,No,Thur,Lunch,2,0.18587105624142664,14.579999999999998
80,19.44,3.0,Male,Yes,Thur,Lunch,2,0.18248175182481752,16.44
81,16.66,3.4,Male,No,Thur,Lunch,2,0.2564102564102564,13.26
82,10.07,1.83,Female,No,Thur,Lunch,1,0.2220873786407767,8.24
83,32.68,5.0,Male,Yes,Thur,Lunch,2,0.18063583815028902,27.68
84,15.98,2.03,Male,No,Thur,Lunch,2,0.14551971326164873,13.950000000000001
85,34.83,5.17,Female,No,Thur,Lunch,4,0.17430883344571815,29.659999999999997
86,13.03,2.0,Male,No,Thur,Lunch,2,0.1813236627379873,11.03
87,18.28,4.0,Male,No,Thur,Lunch,2,0.2801120448179272,14.280000000000001
88,24.71,5.85,Male,No,Thur,Lunch,2,0.31018027571580065,18.86
89,21.16,3.0,Male,No,Thur,Lunch,2,0.16519823788546256,18.16
90,28.97,3.0,Male,Yes,Fri,Dinner,2,0.11551790527531768,25.97
91,22.49,3.5,Male,No,Fri,Dinner,2,0.18430753027909427,18.99
92,5.75,1.0,Female,Yes,Fri,Dinner,2,0.21052631578947367,4.75
93,16.32,4.3,Female,Yes,Fri,Dinner,2,0.3577371048252912,12.02
94,22.75,3.25,Female,No,Fri,Dinner,2,0.16666666666666666,19.5
95,40.17,4.73,Male,Yes,Fri,Dinner,4,0.13346501128668173,35.44
96,27.28,4.0,Male,Yes,Fri,Dinner,2,0.1718213058419244,23.28
97,12.03,1.5,Male,Yes,Fri,Dinner,2,0.14245014245014245,10.53
98,21.01,3.0,Male,Yes,Fri,Dinner,2,0.1665741254858412,18.01
99,12.46,1.5,Male,No,Fri,Dinner,2,0.13686131386861314,10.96
100,11.35,2.5,Female,Yes,Fri,Dinner,2,0.2824858757062147,8.85
101,15.38,3.0,Female,Yes,Fri,Dinner,2,0.24232633279483035,12.38
102,44.3,2.5,Female,Yes,Sat,Dinner,3,0.059808612440191394,41.8
103,22.42,3.48,Female,Yes,Sat,Dinner,2,0.18373812038014783,18.94
104,20.92,4.08,Female,No,Sat,Dinner,2,0.2422802850356294,16.840000000000003
105,15.36,1.64,Male,Yes,Sat,Dinner,2,0.119533527696793,13.719999999999999
106,20.49,4.06,Male,Yes,Sat,Dinner,2,0.24710894704808276,16.43
107,25.21,4.29,Male,Yes,Sat,Dinner,2,0.20506692160611853,20.92
108,18.24,3.76,Male,No,Sat,Dinner,2,0.2596685082872928,14.479999999999999
109,14.31,4.0,Female,Yes,Sat,Dinner,2,0.3879728419010669,10.31
110,14.0,3.0,Male,No,Sat,Dinner,2,0.2727272727272727,11.0
111,7.25,1.0,Female,No,Sat,Dinner,1,0.16,6.25
112,38.07,4.0,Male,No,Sun,Dinner,3,0.1174053419430584,34.07
113,23.95,2.55,Male,No,Sun,Dinner,2,0.1191588785046729,21.4
114,25.71,4.0,Female,No,Sun,Dinner,3,0.18424689083371718,21.71
115,17.31,3.5,Female,No,Sun,Dinner,2,0.25343953656770457,13.809999999999999
116,29.93,5.07,Male,No,Sun,Dinner,4,0.20394207562349156,24.86
117,10.65,1.5,Female,No,Thur,Lunch,2,0.16393442622950818,9.15
118,12.43,1.8,Female,No,Thur,Lunch,2,0.16933207902163688,10.629999999999999
119,24.08,2.92,Female,No,Thur,Lunch,4,0.13799621928166353,21.159999999999997
120,11.69,2.31,Male,No,Thur,Lunch,2,0.24626865671641796,9.379999999999999
121,13.42,1.68,Female,No,Thur,Lunch,2,0.14310051107325383,11.74
122,14.26,2.5,Male,No,Thur,Lunch,2,0.21258503401360546,11.76
123,15.95,2.0,Male,No,Thur,Lunch,2,0.14336917562724016,13.95
124,12.48,2.52,Female,No,Thur,Lunch,2,0.25301204819277107,9.96
125,29.8,4.2,Female,No,Thur,Lunch,6,0.1640625,25.6
126,8.52,1.48,Male,No,Thur,Lunch,2,0.21022727272727276,7.039999999999999
127,14.52,2.0,Female,No,Thur,Lunch,2,0.1597444089456869,12.52
128,11.38,2.0,Female,No,Thur,Lunch,2,0.21321961620469082,9.38
129,22.82,2.18,Male,No,Thur,Lunch,3,0.1056201550387597,20.64
130,19.08,1.5,Male,No,Thur,Lunch,2,0.08532423208191127,17.58
131,20.27,2.83,Female,No,Thur,Lunch,2,0.16227064220183487,17.439999999999998
132,11.17,1.5,Female,No,Thur,Lunch,2,0.15511892450879008,9.67
133,12.26,2.0,Female,No,Thur,Lunch,2,0.19493177387914232,10.26
134,18.26,3.25,Female,No,Thur,Lunch,2,0.21652231845436373,15.010000000000002
135,8.51,1.25,Female,No,Thur,Lunch,2,0.17217630853994492,7.26
136,10.33,2.0,Female,No,Thur,Lunch,2,0.24009603841536614,8.33
137,14.15,2.0,Female,No,Thur,Lunch,2,0.1646090534979424,12.15
138,16.0,2.0,Male,Yes,Thur,Lunch,2,0.14285714285714285,14.0
139,13.16,2.75,Female,No,Thur,Lunch,2,0.2641690682036503,10.41
140,17.47,3.5,Female,No,Thur,Lunch,2,0.25053686471009307,13.969999999999999
141,34.3,6.7,Male,No,Thur,Lunch,6,0.24275362318840582,27.599999999999998
142,41.19,5.0,Male,No,Thur,Lunch,5,0.13815971262779775,36.19
143,27.05,5.0,Female,No,Thur,Lunch,6,0.22675736961451246,22.05
144,16.43,2.3,Female,No,Thur,Lunch,2,0.16277423920736023,14.129999999999999
145,8.35,1.5,Female,No,Thur,Lunch,2,0.21897810218978103,6.85
146,18.64,1.36,Female,No,Thur,Lunch,3,0.0787037037037037,17.28
147,11.87,1.63,Female,No,Thur,Lunch,2,0.15917968750000003,10.239999999999998
148,9.78,1.73,Male,No,Thur,Lunch,2,0.21490683229813667,8.049999999999999
149,7.51,2.0,Male,No,Thur,Lunch,2,0.3629764065335753,5.51
150,14.07,2.5,Male,No,Sun,Dinner,2,0.21607605877268798,11.57
151,13.13,2.0,Male,No,Sun,Dinner,2,0.17969451931716082,11.13
152,17.26,2.74,Male,No,Sun,Dinner,3,0.1887052341597796,14.520000000000001
153,24.55,2.0,Male,No,Sun,Dinner,4,0.08869179600886917,22.55
154,19.77,2.0,Male,No,Sun,Dinner,4,0.11254924029262803,17.77
155,29.85,5.14,Female,No,Sun,Dinner,5,0.20801295022258193,24.71
156,48.17,5.0,Male,No,Sun,Dinner,6,0.11582117211026176,43.17
157,25.0,3.75,Female,No,Sun,Dinner,4,0.17647058823529413,21.25
158,13.39,2.61,Female,No,Sun,Dinner,2,0.24211502782931352,10.780000000000001
159,16.49,2.0,Male,No,Sun,Dinner,4,0.13802622498274675,14.489999999999998
160,21.5,3.5,Male,No,Sun,Dinner,4,0.19444444444444445,18.0
161,12.66,2.5,Male,No,Sun,Dinner,2,0.24606299212598426,10.16
162,16.21,2.0,Female,No,Sun,Dinner,3,0.14074595355383532,14.21
163,13.81,2.0,Male,No,Sun,Dinner,2,0.1693480101608806,11.81
164,17.51,3.0,Female,Yes,Sun,Dinner,2,0.20675396278428668,14.510000000000002
165,24.52,3.48,Male,No,Sun,Dinner,3,0.16539923954372623,21.04
166,20.76,2.24,Male,No,Sun,Dinner,2,0.12095032397408206,18.520000000000003
167,31.71,4.5,Male,No,Sun,Dinner,4,0.16538037486218302,27.21
168,10.59,1.61,Female,Yes,Sat,Dinner,2,0.17928730512249444,8.98
169,10.63,2.0,Female,Yes,Sat,Dinner,2,0.2317497103128621,8.63
170,50.81,10.0,Male,Yes,Sat,Dinner,3,0.2450379808870375,40.81
171,15.81,3.16,Male,Yes,Sat,Dinner,2,0.24980237154150198,12.65
172,7.25,5.15,Male,Yes,Sun,Dinner,2,2.452380952380953,2.0999999999999996
173,31.85,3.18,Male,Yes,Sun,Dinner,2,0.11091733519358214,28.67
174,16.82,4.0,Male,Yes,Sun,Dinner,2,0.31201248049922,12.82
175,32.9,3.11,Male,Yes,Sun,Dinner,2,0.10439744880832494,29.79
176,17.89,2.0,Male,Yes,Sun,Dinner,2,0.12586532410320955,15.89
177,14.48,2.0,Male,Yes,Sun,Dinner,2,0.16025641025641024,12.48
178,9.6,4.0,Female,Yes,Sun,Dinner,2,0.7142857142857143,5.6
179,34.63,3.55,Male,Yes,Sun,Dinner,2,0.11422136422136421,31.080000000000002
180,34.65,3.68,Male,Yes,Sun,Dinner,4,0.11882466903454958,30.97
181,23.33,5.65,Male,Yes,Sun,Dinner,2,0.31957013574660637,17.68
182,45.35,3.5,Male,Yes,Sun,Dinner,3,0.08363201911589008,41.85
183,23.17,6.5,Male,Yes,Sun,Dinner,4,0.3899220155968806,16.67
184,40.55,3.0,Male,Yes,Sun,Dinner,2,0.07989347536617844,37.55
185,20.69,5.0,Male,No,Sun,Dinner,5,0.3186743148502231,15.690000000000001
186,20.9,3.5,Female,Yes,Sun,Dinner,3,0.20114942528735633,17.4
187,30.46,2.0,Male,Yes,Sun,Dinner,5,0.07027406886858749,28.46
188,18.15,3.5,Female,Yes,Sun,Dinner,3,0.23890784982935157,14.649999999999999
189,23.1,4.0,Male,Yes,Sun,Dinner,3,0.20942408376963348,19.1
190,15.69,1.5,Male,Yes,Sun,Dinner,2,0.10570824524312897,14.19
191,19.81,4.19,Female,Yes,Thur,Lunch,2,0.2682458386683739,15.619999999999997
192,28.44,2.56,Male,Yes,Thur,Lunch,2,0.09891808346213292,25.880000000000003
193,15.48,2.02,Male,Yes,Thur,Lunch,2,0.150074294205052,13.46
194,16.58,4.0,Male,Yes,Thur,Lunch,2,0.31796502384737685,12.579999999999998
195,7.56,1.44,Male,No,Thur,Lunch,2,0.23529411764705885,6.119999999999999
196,10.34,2.0,Male,Yes,Thur,Lunch,2,0.23980815347721823,8.34
197,43.11,5.0,Female,Yes,Thur,Lunch,4,0.13119916032537393,38.11
198,13.0,2.0,Female,Yes,Thur,Lunch,2,0.18181818181818182,11.0
199,13.51,2.0,Male,Yes,Thur,Lunch,2,0.1737619461337967,11.51
200,18.71,4.0,Male,Yes,Thur,Lunch,3,0.27192386131883073,14.71
201,12.74,2.01,Female,Yes,Thur,Lunch,2,0.1873252562907735,10.73
202,13.0,2.0,Female,Yes,Thur,Lunch,2,0.18181818181818182,11.0
203,16.4,2.5,Female,Yes,Thur,Lunch,2,0.1798561151079137,13.899999999999999
204,20.53,4.0,Male,Yes,Thur,Lunch,4,0.24198427102238354,16.53
205,16.47,3.23,Female,Yes,Thur,Lunch,3,0.24395770392749247,13.239999999999998
206,26.59,3.41,Male,Yes,Sat,Dinner,3,0.1471095772217429,23.18
207,38.73,3.0,Male,Yes,Sat,Dinner,4,0.08396305625524769,35.73
208,24.27,2.03,Male,Yes,Sat,Dinner,2,0.09127697841726619,22.24
209,12.76,2.23,Female,Yes,Sat,Dinner,2,0.2117758784425451,10.53
210,30.06,2.0,Male,Yes,Sat,Dinner,3,0.07127583749109052,28.06
211,25.89,5.16,Male,Yes,Sat,Dinner,4,0.24891461649782923,20.73
212,48.33,9.0,Male,No,Sat,Dinner,4,0.2288329519450801,39.33
213,13.27,2.5,Female,Yes,Sat,Dinner,2,0.23212627669452182,10.77
214,28.17,6.5,Female,Yes,Sat,Dinner,3,0.2999538532533456,21.67
215,12.9,1.1,Female,Yes,Sat,Dinner,2,0.09322033898305085,11.8
216,28.15,3.0,Male,Yes,Sat,Dinner,5,0.11928429423459246,25.15
217,11.59,1.5,Male,Yes,Sat,Dinner,2,0.14866204162537167,10.09
218,7.74,1.44,Male,Yes,Sat,Dinner,2,0.22857142857142854,6.300000000000001
219,30.14,3.09,Female,Yes,Sat,Dinner,4,0.11423290203327172,27.05
220,12.16,2.2,Male,Yes,Fri,Lunch,2,0.22088353413654618,9.96
221,13.42,3.48,Female,Yes,Fri,Lunch,2,0.3501006036217304,9.94
222,8.58,1.92,Male,Yes,Fri,Lunch,1,0.2882882882882883,6.66
223,15.98,3.0,Female,No,Fri,Lunch,3,0.23112480739599384,12.98
224,13.42,1.58,Male,Yes,Fri,Lunch,2,0.13344594594594594,11.84
225,16.27,2.5,Female,Yes,Fri,Lunch,2,0.18155410312273057,13.77
226,10.09,2.0,Female,Yes,Fri,Lunch,2,0.24721878862793573,8.09
227,20.45,3.0,Male,No,Sat,Dinner,4,0.17191977077363899,17.45
228,13.28,2.72,Male,No,Sat,Dinner,2,0.2575757575757576,10.559999999999999
229,22.12,2.88,Female,Yes,Sat,Dinner,2,0.14968814968814967,19.240000000000002
230,24.01,2.0,Male,Yes,Sat,Dinner,4,0.09086778736937755,22.01
231,15.69,3.0,Male,Yes,Sat,Dinner,3,0.2364066193853428,12.69
232,11.61,3.39,Male,No,Sat,Dinner,2,0.41240875912408764,8.219999999999999
233,10.77,1.47,Male,No,Sat,Dinner,2,0.15806451612903227,9.299999999999999
234,15.53,3.0,Male,Yes,Sat,Dinner,2,0.23942537909018358,12.53
235,10.07,1.25,Male,No,Sat,Dinner,2,0.1417233560090703,8.82
236,12.6,1.0,Male,Yes,Sat,Dinner,2,0.08620689655172414,11.6
237,32.83,1.17,Male,Yes,Sat,Dinner,2,0.03695514845230575,31.659999999999997
238,35.83,4.67,Female,No,Sat,Dinner,3,0.14987163029525033,31.159999999999997
239,29.03,5.92,Male,No,Sat,Dinner,3,0.2561661618347036,23.11
240,27.18,2.0,Female,Yes,Sat,Dinner,2,0.07942811755361398,25.18
241,22.67,2.0,Male,Yes,Sat,Dinner,2,0.09675858732462506,20.67
242,17.82,1.75,Male,No,Sat,Dinner,2,0.1088985687616677,16.07
243,18.78,3.0,Female,No,Thur,Dinner,2,0.19011406844106463,15.780000000000001
